x y z Ts
2.3158190000e-02 8.6833280000e-02 0.0000000000e+00 5.2718717591e+02
2.2521600000e-02 8.7470430000e-02 0.0000000000e+00 5.2749771261e+02
2.1883490000e-02 8.8100960000e-02 0.0000000000e+00 5.2777161615e+02
2.1246610000e-02 8.8722300000e-02 0.0000000000e+00 5.2800512140e+02
2.0612770000e-02 8.9332750000e-02 0.0000000000e+00 5.2819911088e+02
1.9981370000e-02 8.9932990000e-02 0.0000000000e+00 5.2836174911e+02
1.9349190000e-02 9.0525920000e-02 0.0000000000e+00 5.2851475793e+02
1.8712930000e-02 9.1114820000e-02 0.0000000000e+00 5.2865610150e+02
1.8071400000e-02 9.1700430000e-02 0.0000000000e+00 5.2880846638e+02
1.7425730000e-02 9.2281690000e-02 0.0000000000e+00 5.2897300785e+02
1.6776580000e-02 9.2857700000e-02 0.0000000000e+00 5.2916485977e+02
1.6123720000e-02 9.3428660000e-02 0.0000000000e+00 5.2938094126e+02
1.5467020000e-02 9.3994450000e-02 0.0000000000e+00 5.2962926475e+02
1.4807120000e-02 9.4554490000e-02 0.0000000000e+00 5.2990465114e+02
1.4144860000e-02 9.5107910000e-02 0.0000000000e+00 5.3021053945e+02
1.3480870000e-02 9.5654140000e-02 0.0000000000e+00 5.3054956616e+02
1.2814480000e-02 9.6193720000e-02 0.0000000000e+00 5.3092801618e+02
1.2142250000e-02 9.6729240000e-02 0.0000000000e+00 5.3136784970e+02
1.1458260000e-02 9.7265290000e-02 0.0000000000e+00 5.3190512242e+02
1.0757060000e-02 9.7806630000e-02 0.0000000000e+00 5.3256804989e+02
1.0036200000e-02 9.8355910000e-02 0.0000000000e+00 5.3339941894e+02
9.2966300000e-03 9.8913430000e-02 0.0000000000e+00 5.3445040287e+02
8.5423300000e-03 9.9477380000e-02 0.0000000000e+00 5.3579318917e+02
7.7823900000e-03 1.0004225000e-01 0.0000000000e+00 5.3747160306e+02
7.0372000000e-03 1.0059457000e-01 0.0000000000e+00 5.3947434105e+02
6.3455900000e-03 1.0110698000e-01 0.0000000000e+00 5.4173501115e+02
5.7481600000e-03 1.0155041000e-01 0.0000000000e+00 5.4402977350e+02
5.2518300000e-03 1.0192004000e-01 0.0000000000e+00 5.4622956688e+02
4.8353700000e-03 1.0223131000e-01 0.0000000000e+00 5.4836217437e+02
4.4770900000e-03 1.0250497000e-01 0.0000000000e+00 5.5035893386e+02
4.1626400000e-03 1.0275795000e-01 0.0000000000e+00 5.5215273306e+02
3.8817000000e-03 1.0300129000e-01 0.0000000000e+00 5.5374387756e+02
3.6259500000e-03 1.0323993000e-01 0.0000000000e+00 5.5516090159e+02
3.3883000000e-03 1.0347608000e-01 0.0000000000e+00 5.5645920145e+02
3.1641300000e-03 1.0371143000e-01 0.0000000000e+00 5.5768231242e+02
2.9508300000e-03 1.0394762000e-01 0.0000000000e+00 5.5884569358e+02
2.7465100000e-03 1.0418591000e-01 0.0000000000e+00 5.5996526247e+02
2.5501600000e-03 1.0442726000e-01 0.0000000000e+00 5.6104441965e+02
2.3613100000e-03 1.0467231000e-01 0.0000000000e+00 5.6208384341e+02
2.1795600000e-03 1.0492132000e-01 0.0000000000e+00 5.6308901565e+02
2.0049300000e-03 1.0517453000e-01 0.0000000000e+00 5.6405579180e+02
1.8373900000e-03 1.0543197000e-01 0.0000000000e+00 5.6498518840e+02
1.6767900000e-03 1.0569346000e-01 0.0000000000e+00 5.6588384815e+02
1.5233700000e-03 1.0595901000e-01 0.0000000000e+00 5.6674458412e+02
1.3769900000e-03 1.0622841000e-01 0.0000000000e+00 5.6757611955e+02
1.2377000000e-03 1.0650150000e-01 0.0000000000e+00 5.6837747619e+02
1.1057200000e-03 1.0677819000e-01 0.0000000000e+00 5.6914735850e+02
9.8106000000e-04 1.0705829000e-01 0.0000000000e+00 5.6988276450e+02
8.6368000000e-04 1.0734155000e-01 0.0000000000e+00 5.7058724404e+02
7.5373000000e-04 1.0762780000e-01 0.0000000000e+00 5.7126137057e+02
6.5136000000e-04 1.0791688000e-01 0.0000000000e+00 5.7189483183e+02
5.5655000000e-04 1.0820854000e-01 0.0000000000e+00 5.7249110283e+02
4.6948000000e-04 1.0850263000e-01 0.0000000000e+00 5.7305133028e+02
3.9019000000e-04 1.0879893000e-01 0.0000000000e+00 5.7358921720e+02
3.1868000000e-04 1.0909721000e-01 0.0000000000e+00 5.7411148439e+02
2.5507000000e-04 1.0939731000e-01 0.0000000000e+00 5.7459710223e+02
1.9934000000e-04 1.0969899000e-01 0.0000000000e+00 5.7504723124e+02
1.5159000000e-04 1.1000204000e-01 0.0000000000e+00 5.7545902976e+02
