x_m,r_m,x_over_rt,r_over_rt,theta_rad,M_wall  (非粘性設計壁 = 逆 MOC; r_t 0.07702 m)
4.069347124902799706e+00,6.810149123146922445e-01,5.283494059858217895e+01,8.842052873470425567e+00,4.138863633483366722e-02,5.650718585568252017e+00
4.104380974579356689e+00,6.824483413841905266e-01,5.328980751206643163e+01,8.860664001352771990e+00,4.039426464124270394e-02,5.659252435096211897e+00
4.139193020768562548e+00,6.838382356312404653e-01,5.374179460878423953e+01,8.878709888746305623e+00,3.942035436921029201e-02,5.667609440913426333e+00
4.173781641645356366e+00,6.851858321691554066e-01,5.419088083154188951e+01,8.896206597885683465e+00,3.846653563844013718e-02,5.675792543173622029e+00
4.208145517402789970e+00,6.864923779537518422e-01,5.463704904444027477e+01,8.913170318797089209e+00,3.753244154182182324e-02,5.683805742200349620e+00
4.242280070758373434e+00,6.877583063206235137e-01,5.508023981768856459e+01,8.929606677754135191e+00,3.661774465820384628e-02,5.691650348128971970e+00
4.276186122641298937e+00,6.889852813443613222e-01,5.552046380993635921e+01,8.945537280503263133e+00,3.572206975160634873e-02,5.699330902329859505e+00
4.309859500694876111e+00,6.901737552968237877e-01,5.595766684880389619e+01,8.960967999179741739e+00,3.484509793114565906e-02,5.706848785910260347e+00
4.343300610509900572e+00,6.913251970649014755e-01,5.639185420033628304e+01,8.975917905283061771e+00,3.398647193906922243e-02,5.714207729868131302e+00
4.376505406242886309e+00,6.924400100414838111e-01,5.682297333475572287e+01,8.990392236321524067e+00,3.314588281452603841e-02,5.721410268341337257e+00
4.409474725666141737e+00,6.935196759911054221e-01,5.725103512939679717e+01,9.004410230993318720e+00,3.232298318601484893e-02,5.728458993169798674e+00
4.442205520583470069e+00,6.945647346615102524e-01,5.767600000757555989e+01,9.017978897189173892e+00,3.151746499159660542e-02,5.735356569197928245e+00
4.474697109995492639e+00,6.955762265677460920e-01,5.809785912744082736e+01,9.031111744582524636e+00,3.072900545621725515e-02,5.742105812211473648e+00
4.506948985377893457e+00,6.965551904450505427e-01,5.851660588649562555e+01,9.043822259738385938e+00,2.995728752638888298e-02,5.748709470193692717e+00
4.538959198084390856e+00,6.975023130031351437e-01,5.893221498421696225e+01,9.056119358648858864e+00,2.920201252901674996e-02,5.755170090736987376e+00
4.570726570231281372e+00,6.984183874831968453e-01,5.934467112738614958e+01,9.068013340472562689e+00,2.846287774900122663e-02,5.761490247868474412e+00
4.602251132894086716e+00,6.993044536973865855e-01,5.975397471947658090e+01,9.079517705756771306e+00,2.773957932513088781e-02,5.767672528859875136e+00
4.633532008026258531e+00,7.001613082514321906e-01,6.016011436024744796e+01,9.090642797343964077e+00,2.703182548087923118e-02,5.773719385760482936e+00
4.664568503485949869e+00,7.009897437764012196e-01,6.056308106317774076e+01,9.101398906471061423e+00,2.633932806391763373e-02,5.779633225920736805e+00
4.695360026129621112e+00,7.017905380742645027e-01,6.096286712710492139e+01,9.111796131839319912e+00,2.566180340896022025e-02,5.785416405056329481e+00
4.725906061889971532e+00,7.025644547072792401e-01,6.135946587756389192e+01,9.121844387266673237e+00,2.499897317773056016e-02,5.791071480535713967e+00
4.756206247728538727e+00,7.033122483615061871e-01,6.175287260099374720e+01,9.131553471325709381e+00,2.435056246112596995e-02,5.796601285232993561e+00
4.786260389423240724e+00,7.040346679523338258e-01,6.214308477568476263e+01,9.140933107664681145e+00,2.371629989850346926e-02,5.802007350274204889e+00
4.816068359578799196e+00,7.047324478260631464e-01,6.253010074758243064e+01,9.149992830772047725e+00,2.309591908331241894e-02,5.807292388615038270e+00
4.845630065338492720e+00,7.054062980683839523e-01,6.291391931106845448e+01,9.158741860145207525e+00,2.248915923388089544e-02,5.812458926246913293e+00
4.874945571615123541e+00,7.060569243522384353e-01,6.329454130894733055e+01,9.167189357988034359e+00,2.189576259624064977e-02,5.817508485704432353e+00
4.904015115783164624e+00,7.066850291420778696e-01,6.367196982320390219e+01,9.175344444846505354e+00,2.131547486242681144e-02,5.822444329180643585e+00
4.932838974694035095e+00,7.072912900864233299e-01,6.404620844837749871e+01,9.183215919065480293e+00,2.074804601430178461e-02,5.827267600368267964e+00
4.961417562299754280e+00,7.078763837458167396e-01,6.441726255907236975e+01,9.190812564863888312e+00,2.019323037198825915e-02,5.831981233071947379e+00
