x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
-8.234832286834716797e-01,4.976729154586791992e-01,-1.069181060791015625e+01,6.461606502532958984e+00
-8.165199160575866699e-01,4.972837567329406738e-01,-1.060140132904052734e+01,6.456553936004638672e+00
-8.095566034317016602e-01,4.968439042568206787e-01,-1.051099205017089844e+01,6.450842857360839844e+00
-8.025932312011718750e-01,4.963507056236267090e-01,-1.042058277130126953e+01,6.444439411163330078e+00
-7.956299185752868652e-01,4.958015084266662598e-01,-1.033017349243164062e+01,6.437308788299560547e+00
-7.886665463447570801e-01,4.951938688755035400e-01,-1.023976325988769531e+01,6.429419517517089844e+00
-7.817032337188720703e-01,4.945252239704132080e-01,-1.014935398101806641e+01,6.420738220214843750e+00
-7.747398614883422852e-01,4.937933683395385742e-01,-1.005894470214843750e+01,6.411235809326171875e+00
-7.677765488624572754e-01,4.929958581924438477e-01,-9.968535423278808594e+00,6.400881290435791016e+00
-7.608131766319274902e-01,4.921306073665618896e-01,-9.878125190734863281e+00,6.389647006988525391e+00
-7.538498640060424805e-01,4.911953508853912354e-01,-9.787715911865234375e+00,6.377504348754882812e+00
-7.468865513801574707e-01,4.901881515979766846e-01,-9.697306632995605469e+00,6.364427089691162109e+00
-7.399231791496276855e-01,4.891070127487182617e-01,-9.606897354125976562e+00,6.350389957427978516e+00
-7.329598665237426758e-01,4.879500269889831543e-01,-9.516488075256347656e+00,6.335368156433105469e+00
-7.259964942932128906e-01,4.867154061794281006e-01,-9.426077842712402344e+00,6.319338321685791016e+00
-7.190331816673278809e-01,4.854014217853546143e-01,-9.335668563842773438e+00,6.302278041839599609e+00
-7.120698690414428711e-01,4.840064346790313721e-01,-9.245259284973144531e+00,6.284165859222412109e+00
-7.051064968109130859e-01,4.825289249420166016e-01,-9.154850006103515625e+00,6.264982223510742188e+00
-6.981431841850280762e-01,4.809673726558685303e-01,-9.064440727233886719e+00,6.244707584381103516e+00
-6.911798119544982910e-01,4.793203771114349365e-01,-8.974030494689941406e+00,6.223323822021484375e+00
-6.842164993286132812e-01,4.775867164134979248e-01,-8.883621215820312500e+00,6.200814723968505859e+00
-6.772531270980834961e-01,4.757651090621948242e-01,-8.793211936950683594e+00,6.177163600921630859e+00
-6.702898144721984863e-01,4.738545119762420654e-01,-8.702802658081054688e+00,6.152357101440429688e+00
-6.633265018463134766e-01,4.718538522720336914e-01,-8.612393379211425781e+00,6.126380920410156250e+00
-6.563631296157836914e-01,4.697620868682861328e-01,-8.521983146667480469e+00,6.099222183227539062e+00
-6.493998169898986816e-01,4.675784707069396973e-01,-8.431573867797851562e+00,6.070870876312255859e+00
-6.424364447593688965e-01,4.653022289276123047e-01,-8.341164588928222656e+00,6.041316986083984375e+00
-6.354731321334838867e-01,4.629325866699218750e-01,-8.250755310058593750e+00,6.010550498962402344e+00
-6.285097599029541016e-01,4.604690670967102051e-01,-8.160345077514648438e+00,5.978565216064453125e+00
-6.215464472770690918e-01,4.579111039638519287e-01,-8.069935798645019531e+00,5.945353507995605469e+00
-6.145831346511840820e-01,4.552583098411560059e-01,-7.979526996612548828e+00,5.910910606384277344e+00
-6.076197624206542969e-01,4.525103569030761719e-01,-7.889116764068603516e+00,5.875232219696044922e+00
-6.006564497947692871e-01,4.496670663356781006e-01,-7.798707962036132812e+00,5.838315963745117188e+00
-5.936930775642395020e-01,4.467282295227050781e-01,-7.708297729492187500e+00,5.800158977508544922e+00
-5.867297649383544922e-01,4.436938762664794922e-01,-7.617888927459716797e+00,5.760762214660644531e+00
-5.797663927078247070e-01,4.405640661716461182e-01,-7.527478694915771484e+00,5.720125675201416016e+00
-5.728030800819396973e-01,4.373389184474945068e-01,-7.437069416046142578e+00,5.678251743316650391e+00
-5.658397674560546875e-01,4.340187609195709229e-01,-7.346660614013671875e+00,5.635143756866455078e+00
-5.588763952255249023e-01,4.306038320064544678e-01,-7.256250381469726562e+00,5.590805530548095703e+00
-5.519130825996398926e-01,4.270946681499481201e-01,-7.165841579437255859e+00,5.545243740081787109e+00
-5.449497103691101074e-01,4.234917759895324707e-01,-7.075431346893310547e+00,5.498465061187744141e+00
