x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
2.781534492969512939e-01,1.430425345897674561e-01,3.611444473266601562e+00,1.857212901115417480e+00
2.850802838802337646e-01,1.449788063764572144e-01,3.701380014419555664e+00,1.882352828979492188e+00
2.920164167881011963e-01,1.469267755746841431e-01,3.791436433792114258e+00,1.907644510269165039e+00
2.989596426486968994e-01,1.488859802484512329e-01,3.881584644317626953e+00,1.933082103729248047e+00
3.059082329273223877e-01,1.508558392524719238e-01,3.971802711486816406e+00,1.958658099174499512e+00
3.128608167171478271e-01,1.528359055519104004e-01,4.062072753906250000e+00,1.984366536140441895e+00
3.198164403438568115e-01,1.548256725072860718e-01,4.152381896972656250e+00,2.010200977325439453e+00
3.267742097377777100e-01,1.568247377872467041e-01,4.242719173431396484e+00,2.036156177520751953e+00
3.337336182594299316e-01,1.588325947523117065e-01,4.333077430725097656e+00,2.062225341796875000e+00
3.406941294670104980e-01,1.608487516641616821e-01,4.423450469970703125e+00,2.088402509689331055e+00
3.476555049419403076e-01,1.628725528717041016e-01,4.513834476470947266e+00,2.114678859710693359e+00
3.546175062656402588e-01,1.649033576250076294e-01,4.604226589202880859e+00,2.141046047210693359e+00
3.615798950195312500e-01,1.669404953718185425e-01,4.694623470306396484e+00,2.167495489120483398e+00
3.685425817966461182e-01,1.689832806587219238e-01,4.785024642944335938e+00,2.194018363952636719e+00
3.755055069923400879e-01,1.710310876369476318e-01,4.875428676605224609e+00,2.220606327056884766e+00
3.824685215950012207e-01,1.730831712484359741e-01,4.965834140777587891e+00,2.247249841690063477e+00
3.894316554069519043e-01,1.751388460397720337e-01,5.056241035461425781e+00,2.273939847946166992e+00
3.963948786258697510e-01,1.771973520517349243e-01,5.146648883819580078e+00,2.300666809082031250e+00
4.033581316471099854e-01,1.792580485343933105e-01,5.237057209014892578e+00,2.327422142028808594e+00
4.103214144706726074e-01,1.813202500343322754e-01,5.327466011047363281e+00,2.354197025299072266e+00
4.172846972942352295e-01,1.833833605051040649e-01,5.417874813079833984e+00,2.380983829498291016e+00
4.242480099201202393e-01,1.854467689990997314e-01,5.508284091949462891e+00,2.407774209976196289e+00
4.312113523483276367e-01,1.875099241733551025e-01,5.598693370819091797e+00,2.434561491012573242e+00
4.381746649742126465e-01,1.895722597837448120e-01,5.689102649688720703e+00,2.461338281631469727e+00
4.451379776000976562e-01,1.916333287954330444e-01,5.779511928558349609e+00,2.488098382949829102e+00
4.521013498306274414e-01,1.936926096677780151e-01,5.869921684265136719e+00,2.514835357666015625e+00
4.590646624565124512e-01,1.957497447729110718e-01,5.960330963134765625e+00,2.541544437408447266e+00
4.660280048847198486e-01,1.978042721748352051e-01,6.050740242004394531e+00,2.568219661712646484e+00
4.729913473129272461e-01,1.998558938503265381e-01,6.141149997711181641e+00,2.594857215881347656e+00
4.799546897411346436e-01,2.019042074680328369e-01,6.231559276580810547e+00,2.621451854705810547e+00
