# c3x vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_c3x_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.01040 cm / 折れ角 max 3.78° / R_LE 1.179 R_TE 0.188 cm
i,x_cm,y_cm
1044,5.99624,6.00830
1045,5.99946,5.99883
1046,6.00269,5.98935
1047,6.00591,5.97988
1048,6.00913,5.97041
1049,6.01236,5.96093
1050,6.01558,5.95146
1051,6.01880,5.94198
1052,6.02202,5.93251
1053,6.02524,5.92303
1054,6.02846,5.91356
1055,6.03168,5.90408
1056,6.03490,5.89461
1057,6.03812,5.88513
1058,6.04133,5.87566
1059,6.04455,5.86618
1060,6.04777,5.85670
1061,6.05098,5.84723
1062,6.05420,5.83775
1063,6.05741,5.82827
1064,6.06062,5.81879
1065,6.06384,5.80932
1066,6.06705,5.79984
1067,6.07026,5.79036
1068,6.07347,5.78088
1069,6.07668,5.77140
1070,6.07989,5.76192
1071,6.08310,5.75245
1072,6.08631,5.74297
1073,6.08951,5.73349
1074,6.09272,5.72401
1075,6.09593,5.71453
1076,6.09913,5.70505
1077,6.10234,5.69557
1078,6.10554,5.68609
1079,6.10874,5.67660
1080,6.11195,5.66712
1081,6.11515,5.65764
1082,6.11835,5.64816
1083,6.12155,5.63868
1084,6.12475,5.62920
1085,6.12795,5.61972
1086,6.13115,5.61023
1087,6.13434,5.60075
1088,6.13754,5.59127
1089,6.14074,5.58178
1090,6.14393,5.57230
1091,6.14713,5.56282
1092,6.15032,5.55333
1093,6.15352,5.54385
1094,6.15671,5.53436
1095,6.15990,5.52488
1096,6.16309,5.51539
1097,6.16628,5.50591
1098,6.16947,5.49642
1099,6.17266,5.48694
1100,6.17585,5.47745
1101,6.17904,5.46797
1102,6.18223,5.45848
1103,6.18541,5.44899
