x_mm,contour_wall
3.706211596727371216e+01,2.514614215655154861e-01
3.748813271522521973e+01,2.501451865900626292e-01
3.791414573788642883e+01,2.488453020515913328e-01
3.834015876054763794e+01,2.475519147039529355e-01
3.876617178320884705e+01,2.462797548194938235e-01
3.919218480587005615e+01,2.450153485800744824e-01
3.961820155382156372e+01,2.437668960026239950e-01
4.004421457648277283e+01,2.425362817684526828e-01
4.047022759914398193e+01,2.413124788386659947e-01
4.089624062180519104e+01,2.401082501428390137e-01
4.132225736975669861e+01,2.389148996952767945e-01
4.174827039241790771e+01,2.377304270886236581e-01
4.217428341507911682e+01,2.365644210523531465e-01
4.260029643774032593e+01,2.354021678464110479e-01
4.302630946040153503e+01,2.342565130618334268e-01
4.345232620835304260e+01,2.331191244233536408e-01
4.387833923101425171e+01,2.319877535392331214e-01
4.430435225367546082e+01,2.308724851077111895e-01
4.473036527633666992e+01,2.297610687002708540e-01
4.515638202428817749e+01,2.286615059463348587e-01
4.558239504694938660e+01,2.275740448302860930e-01
4.600840806961059570e+01,2.264905349320721073e-01
4.643442109227180481e+01,2.254238714396055443e-01
4.686043411493301392e+01,2.243617377952006053e-01
4.728645086288452148e+01,2.233113255459624191e-01
4.771246388554573059e+01,2.222747838898764261e-01
4.813847690820693970e+01,2.212425075651769102e-01
4.856448993086814880e+01,2.202257881274335416e-01
4.899050667881965637e+01,2.192167396732689899e-01
4.941651970148086548e+01,2.182140892161841816e-01
4.984253272414207458e+01,2.172270287106399245e-01
5.026854574680328369e+01,2.162420182093279242e-01
5.069455876946449280e+01,2.152706137844929701e-01
5.112057551741600037e+01,2.143055577598611816e-01
5.154658854007720947e+01,2.133453622291349161e-01
5.197260156273841858e+01,2.123979792248603393e-01
5.239861458539962769e+01,2.114528611446165607e-01
5.282463133335113525e+01,2.105166209052818649e-01
5.325064435601234436e+01,2.095906637516929127e-01
5.367665737867355347e+01,2.086657316002200890e-01
5.410267040133476257e+01,2.077545377835618712e-01
5.452868342399597168e+01,2.068456750201032590e-01
5.495470017194747925e+01,2.059456239683849776e-01
5.538071319460868835e+01,2.050562197128406872e-01
5.580672621726989746e+01,2.041687828000677274e-01
5.623273923993110657e+01,2.032952991419079147e-01
5.665875226259231567e+01,2.024245433119603865e-01
5.708476901054382324e+01,2.015625165322922074e-01
5.751078203320503235e+01,2.007112522748434047e-01
5.793679505586624146e+01,1.998619057632893270e-01
5.836280807852745056e+01,1.990245451635771212e-01
5.878882482647895813e+01,1.981923922359065393e-01
5.921483784914016724e+01,1.973638433479346643e-01
5.964085087180137634e+01,1.965473795655578171e-01
6.006686389446258545e+01,1.957310315092263553e-01
6.049287691712379456e+01,1.949254459751142698e-01
6.091889366507530212e+01,1.941243902890638362e-01
6.134490668773651123e+01,1.933255995270441729e-01
6.177091971039772034e+01,1.925377696747503087e-01
6.219693273305892944e+01,1.917506507110208203e-01
6.262294948101043701e+01,1.909713349892077083e-01
6.304895877838134766e+01,1.901989297655324318e-01
