x_mm,contour_wall,center,center_T,center_g,contour_g
1.831750757992267609e+01,3.557129319557305047e-01,3.558326588158117754e-01,2.139148864746093750e+02,1.577861403347924352e-04,0.000000000000000000e+00
1.874352246522903442e+01,3.538191248201286720e-01,3.539442081428813003e-01,2.136688385009765625e+02,1.908493868540972471e-04,0.000000000000000000e+00
1.916953548789024353e+01,3.520175017458100353e-01,3.521422544227187923e-01,2.134494628906250000e+02,2.294141013408079743e-04,0.000000000000000000e+00
1.959555037319660187e+01,3.503145103267309990e-01,3.504301702429321042e-01,2.132591857910156250e+02,2.741148055065423250e-04,0.000000000000000000e+00
2.002156339585781097e+01,3.487102166920602597e-01,3.488148330370746675e-01,2.131011505126953125e+02,3.256070776842534542e-04,0.000000000000000000e+00
2.044757828116416931e+01,3.472055466501608456e-01,3.473042444345691426e-01,2.129783020019531250e+02,3.845615719910711050e-04,0.000000000000000000e+00
2.087359130382537842e+01,3.458045010157440591e-01,3.459060092898256222e-01,2.128939971923828125e+02,4.516494227573275566e-04,0.000000000000000000e+00
2.129960432648658752e+01,3.445148169015574968e-01,3.446227397050110053e-01,2.128504333496093750e+02,5.275333533063530922e-04,0.000000000000000000e+00
2.172561921179294586e+01,3.433407596389876359e-01,3.434549316488911264e-01,2.128495483398437500e+02,6.128494860604405403e-04,0.000000000000000000e+00
2.215163223445415497e+01,3.422889421449127889e-01,3.424023206047909218e-01,2.128929443359375000e+02,7.081927033141255379e-04,0.000000000000000000e+00
2.257764711976051331e+01,3.413600918401896167e-01,3.414671880290333639e-01,2.129825744628906250e+02,8.141026482917368412e-04,0.000000000000000000e+00
2.300366014242172241e+01,3.405551345331809809e-01,3.406554194176401040e-01,2.131209411621093750e+02,9.310450404882431030e-04,0.000000000000000000e+00
2.342967502772808075e+01,3.398764839385474690e-01,3.399739913979177297e-01,2.133100128173828125e+02,1.059401547536253929e-03,0.000000000000000000e+00
2.385568805038928986e+01,3.393287029689351364e-01,3.394247555865921862e-01,2.135521697998046875e+02,1.199453603476285934e-03,0.000000000000000000e+00
2.428170107305049896e+01,3.389082206492297078e-01,3.389961063145420783e-01,2.138431549072265625e+02,1.351370243355631828e-03,0.000000000000000000e+00
2.470771595835685730e+01,3.386355039571694592e-01,3.386770000105806533e-01,2.141894531250000000e+02,1.515169278718531132e-03,0.000000000000000000e+00
2.513372898101806641e+01,3.384358269320297818e-01,3.385070811113932709e-01,2.145686645507812500e+02,1.690794830210506916e-03,0.000000000000000000e+00
2.555974386632442474e+01,3.384328511194345523e-01,3.385148843533096197e-01,2.150469512939453125e+02,1.878025941550731659e-03,0.000000000000000000e+00
2.598575688898563385e+01,3.385167029054511612e-01,3.385931812891484483e-01,2.155505218505859375e+02,2.076484961435198784e-03,0.000000000000000000e+00
2.641177177429199219e+01,3.387038153885220670e-01,3.387772187658710243e-01,2.160960693359375000e+02,2.285664901137351990e-03,0.000000000000000000e+00
2.683778479695320129e+01,3.389937587290502985e-01,3.390657403292703376e-01,2.166850891113281250e+02,2.504921052604913712e-03,0.000000000000000000e+00
2.726379968225955963e+01,3.393805151726764779e-01,3.394469088581344440e-01,2.173146820068359375e+02,2.733477158471941948e-03,0.000000000000000000e+00
2.768981270492076874e+01,3.398545621190959820e-01,3.399111686875740390e-01,2.179810943603515625e+02,2.970434026792645454e-03,0.000000000000000000e+00
2.811582572758197784e+01,3.404040955116810485e-01,3.404511464152700229e-01,2.186800689697265625e+02,3.214783500880002975e-03,0.000000000000000000e+00
2.854184061288833618e+01,3.410165508083629615e-01,3.410601629951752201e-01,2.194077758789062500e+02,3.465431742370128632e-03,0.000000000000000000e+00
2.896785363554954529e+01,3.416792642733197938e-01,3.417267780810902544e-01,2.201588592529296875e+02,3.721199929714202881e-03,0.000000000000000000e+00
2.939386852085590363e+01,3.423781834581852146e-01,3.424366747079735651e-01,2.209280853271484375e+02,3.980846144258975983e-03,0.000000000000000000e+00
2.981988154351711273e+01,3.430990575270865262e-01,3.431725931627729875e-01,2.217090911865234375e+02,4.243082366883754730e-03,0.000000000000000000e+00
3.024589642882347107e+01,3.438279001608261498e-01,3.439197866408498228e-01,2.224957580566406250e+02,4.506575874984264374e-03,0.000000000000000000e+00
3.067190945148468018e+01,3.445513532673099566e-01,3.446641365646690436e-01,2.232837829589843750e+02,4.770150873810052872e-03,0.000000000000000000e+00
3.109792433679103851e+01,3.452547692356526254e-01,3.453882178982563000e-01,2.240655670166015625e+02,5.032406188547611237e-03,0.000000000000000000e+00
3.152393549680709839e+01,3.459235996487218801e-01,3.460765233515321060e-01,2.248350372314453125e+02,5.292042158544063568e-03,0.000000000000000000e+00
3.194995224475860596e+01,3.465427339914508020e-01,3.467122891802099094e-01,2.255861206054687500e+02,5.547846667468547821e-03,0.000000000000000000e+00
3.237596526741981506e+01,3.470974915883697220e-01,3.472790492212629032e-01,2.263127593994140625e+02,5.798692815005779266e-03,0.000000000000000000e+00
3.280197829008102417e+01,3.475725304723209508e-01,3.477659582910106462e-01,2.270101470947265625e+02,6.043544039130210876e-03,0.000000000000000000e+00
3.322799131274223328e+01,3.479596175617911125e-01,3.481728510665312304e-01,2.276751403808593750e+02,6.281492765992879868e-03,0.000000000000000000e+00
3.365400806069374084e+01,3.482406995937024075e-01,3.485049186875740501e-01,2.283121643066406250e+02,6.511788815259933472e-03,0.000000000000000000e+00
3.408002108335494995e+01,3.484301927268494969e-01,3.486798634035889743e-01,2.289104003906250000e+02,6.733644288033246994e-03,0.000000000000000000e+00
3.450603410601615906e+01,3.484861380036397560e-01,3.486872368059082405e-01,2.294225769042968750e+02,6.946662440896034241e-03,0.000000000000000000e+00
3.493204712867736816e+01,3.484207362557135701e-01,3.486200826350093207e-01,2.299144134521484375e+02,7.150426041334867477e-03,0.000000000000000000e+00
3.535806015133857727e+01,3.482490979981378021e-01,3.484431871085152954e-01,2.303666839599609375e+02,7.344676181674003601e-03,0.000000000000000000e+00
3.578407689929008484e+01,3.479649078952937180e-01,3.481495735991196883e-01,2.307738037109375000e+02,7.529280614107847214e-03,0.000000000000000000e+00
3.621008992195129395e+01,3.475673062679871528e-01,3.477419534027424985e-01,2.311358184814453125e+02,7.704218849539756775e-03,0.000000000000000000e+00
3.663610294461250305e+01,3.470588060246317941e-01,3.472227402340443692e-01,2.314532775878906250e+02,7.869587279856204987e-03,0.000000000000000000e+00
3.706211596727371216e+01,3.464432757216014958e-01,3.465939840972575015e-01,2.317268066406250000e+02,8.025557734072208405e-03,0.000000000000000000e+00
3.748813271522521973e+01,3.457258734340613038e-01,3.458601487112747397e-01,2.319579925537109375e+02,8.172383531928062439e-03,0.000000000000000000e+00
3.791414573788642883e+01,3.449132451434738234e-01,3.450276816700524884e-01,2.321482849121093750e+02,8.310384117066860199e-03,0.000000000000000000e+00
3.834015876054763794e+01,3.440119376375486704e-01,3.441060394447266191e-01,2.323005065917968750e+02,8.439908735454082489e-03,0.000000000000000000e+00
3.876617178320884705e+01,3.430293573831894594e-01,3.431042486668359759e-01,2.324170532226562500e+02,8.561355993151664734e-03,0.000000000000000000e+00
3.919218480587005615e+01,3.419716213285085571e-01,3.420313690325038070e-01,2.325007476806640625e+02,8.675140328705310822e-03,0.000000000000000000e+00
3.961820155382156372e+01,3.408458383591501661e-01,3.408947739440494340e-01,2.325536041259765625e+02,8.781683631241321564e-03,0.000000000000000000e+00
4.004421457648277283e+01,3.396593818774335527e-01,3.397017045454545636e-01,2.325780639648437500e+02,8.881421759724617004e-03,0.000000000000000000e+00
4.047022759914398193e+01,3.384194930273404234e-01,3.384584431077535260e-01,2.325763092041015625e+02,8.974774740636348724e-03,0.000000000000000000e+00
4.089624062180519104e+01,3.371335782757745037e-01,3.371706767394616611e-01,2.325504608154296875e+02,9.062167257070541382e-03,0.000000000000000000e+00
4.132225736975669861e+01,3.358084158625359583e-01,3.358437949678347856e-01,2.325023498535156250e+02,9.143998846411705017e-03,0.000000000000000000e+00
4.174827039241790771e+01,3.344507178982563111e-01,3.344831542555442572e-01,2.324338531494140625e+02,9.220652282238006592e-03,0.000000000000000000e+00
4.217428341507911682e+01,3.330652787476722776e-01,3.330941441298459482e-01,2.323470764160156250e+02,9.292505681514739990e-03,0.000000000000000000e+00
