x_mm,contour_wall,center,center_T,center_g,contour_g
1.150128711014986038e+01,3.967560005607753681e-01,3.969195710597596127e-01,2.203155517578125000e+02,4.559811259241541848e-06,0.000000000000000000e+00
1.192730013281106949e+01,3.936038214724056350e-01,3.937471564457423190e-01,2.198161926269531250e+02,6.277098236751044169e-06,0.000000000000000000e+00
1.235331408679485321e+01,3.905395280493482169e-01,3.906756218787032497e-01,2.193312225341796875e+02,8.528174475941341370e-06,0.000000000000000000e+00
1.277932804077863693e+01,3.875630541624344172e-01,3.877015617064499819e-01,2.188607025146484375e+02,1.144505222328007221e-05,0.000000000000000000e+00
1.320534199476242065e+01,3.846724159366006202e-01,3.848168751058066439e-01,2.184038085937500000e+02,1.518389672128250822e-05,0.000000000000000000e+00
1.363135594874620438e+01,3.818712504761300197e-01,3.820139902869477133e-01,2.179601745605468750e+02,1.992778197745792568e-05,0.000000000000000000e+00
1.405736990272998810e+01,3.791538045433384130e-01,3.792895677268495191e-01,2.175297088623046875e+02,2.588929783087223768e-05,0.000000000000000000e+00
1.448338385671377182e+01,3.765154160318266441e-01,3.766451283963941354e-01,2.171135406494140625e+02,3.331328844069503248e-05,0.000000000000000000e+00
1.490939781069755554e+01,3.739531421935838873e-01,3.740829206873201307e-01,2.167126770019531250e+02,4.247910692356526852e-05,0.000000000000000000e+00
1.533541083335876465e+01,3.714706201328931701e-01,3.716040687954968447e-01,2.163284454345703125e+02,5.370278813643381000e-05,0.000000000000000000e+00
1.576142571866512299e+01,3.690706272748434102e-01,3.692060928770949935e-01,2.159614257812500000e+02,6.733823101967573166e-05,0.000000000000000000e+00
1.618743874132633209e+01,3.667530974902658003e-01,3.668864469591163191e-01,2.156121368408203125e+02,8.377795893466100097e-05,0.000000000000000000e+00
1.661345362663269043e+01,3.645224283688843769e-01,3.646458584624174826e-01,2.152820739746093750e+02,1.034531815093941987e-04,0.000000000000000000e+00
1.703946664929389954e+01,3.623749497418317089e-01,3.624883943308785939e-01,2.149732055664062500e+02,1.268326741410419345e-04,0.000000000000000000e+00
1.746547967195510864e+01,3.603104632216014847e-01,3.604206013522092689e-01,2.146879730224609375e+02,1.544214610476046801e-04,0.000000000000000000e+00
1.789149455726146698e+01,3.583320438145420894e-01,3.584468771161333778e-01,2.144285278320312500e+02,1.867561950348317623e-04,0.000000000000000000e+00
1.831750757992267609e+01,3.564463044375317247e-01,3.565691063039613806e-01,2.141970214843750000e+02,2.244007191620767117e-04,0.000000000000000000e+00
1.874352246522903442e+01,3.546582047782292357e-01,3.547862969781614972e-01,2.139944763183593750e+02,2.679386525414884090e-04,0.000000000000000000e+00
1.916953548789024353e+01,3.529727706534619980e-01,3.530989451074995622e-01,2.138229827880859375e+02,3.179643827024847269e-04,0.000000000000000000e+00
1.959555037319660187e+01,3.513927464237345255e-01,3.515101918274928239e-01,2.136846923828125000e+02,3.750737232621759176e-04,0.000000000000000000e+00
2.002156339585781097e+01,3.499178675723717546e-01,3.500266169904350799e-01,2.135822906494140625e+02,4.398547753226011992e-04,0.000000000000000000e+00
2.044757828116416931e+01,3.485485639389707124e-01,3.486555278694769000e-01,2.135186309814453125e+02,5.128759657964110374e-04,0.000000000000000000e+00
2.087359130382537842e+01,3.472899935986964448e-01,3.474011567314203575e-01,2.134961547851562500e+02,5.946715245954692364e-04,0.000000000000000000e+00
2.129960432648658752e+01,3.461472815621296495e-01,3.462637680929405715e-01,2.135161437988281250e+02,6.857303669676184654e-04,0.000000000000000000e+00
