x_mm,contour_wall,center,center_T,side_wall_mid
2.172561836242675781e+01,3.377429544925689697e-01,3.378667533397674561e-01,2.104208831787109375e+02,3.378277122974395752e-01
2.215163230895996094e+01,3.357123434543609619e-01,3.358327448368072510e-01,2.100591278076171875e+02,3.357959389686584473e-01
2.257764625549316406e+01,3.337113559246063232e-01,3.338288366794586182e-01,2.097011718750000000e+02,3.337944447994232178e-01
2.300366020202636719e+01,3.317387700080871582e-01,3.318535983562469482e-01,2.093468170166015625e+02,3.318222165107727051e-01
2.342967414855957031e+01,3.297939002513885498e-01,3.299067616462707520e-01,2.089961395263671875e+02,3.298784792423248291e-01
2.385568809509277344e+01,3.278768062591552734e-01,3.279881477355957031e-01,2.086490478515625000e+02,3.279620110988616943e-01
2.428170013427734375e+01,3.259864449501037598e-01,3.260970711708068848e-01,2.083055725097656250e+02,3.260726928710937500e-01
2.470771598815917969e+01,3.241221010684967041e-01,3.242324292659759521e-01,2.079654235839843750e+02,3.242092132568359375e-01
2.513372802734375000e+01,3.222831785678863525e-01,3.223936855792999268e-01,2.076286468505859375e+02,3.223709464073181152e-01
2.555974388122558594e+01,3.204693496227264404e-01,3.205795288085937500e-01,2.072950286865234375e+02,3.205572068691253662e-01
2.598575782775878906e+01,3.186797499656677246e-01,3.187891542911529541e-01,2.069644622802734375e+02,3.187670707702636719e-01
2.641177177429199219e+01,3.169136643409729004e-01,3.170214593410491943e-01,2.066367492675781250e+02,3.170000910758972168e-01
2.683778572082519531e+01,3.151701688766479492e-01,3.152757287025451660e-01,2.063118438720703125e+02,3.152552247047424316e-01
2.726379966735839844e+01,3.134492039680480957e-01,3.135523200035095215e-01,2.059898376464843750e+02,3.135326802730560303e-01
2.768981361389160156e+01,3.117499053478240967e-01,3.118506968021392822e-01,2.056706848144531250e+02,3.118315339088439941e-01
2.811582565307617188e+01,3.100715279579162598e-01,3.101705610752105713e-01,2.053542938232421875e+02,3.101513087749481201e-01
2.854184150695800781e+01,3.084137439727783203e-01,3.085112869739532471e-01,2.050406646728515625e+02,3.084917366504669189e-01
