x_mm,contour_wall,center,center_T,center_g,contour_g,side_wall_mid
8.519678711891174316e-01,5.330325365066528320e-01,5.382981896400451660e-01,2.402866210937500000e+02,2.786438377396730642e-14,0.000000000000000000e+00,5.403665900230407715e-01
1.277949333190917969e+00,5.256696939468383789e-01,5.290204286575317383e-01,2.390990905761718750e+02,1.656816095993787763e-13,0.000000000000000000e+00,5.302475690841674805e-01
1.703928112983703613e+00,5.182110667228698730e-01,5.210111141204833984e-01,2.380617065429687500e+02,7.402463516291424295e-13,0.000000000000000000e+00,5.214074254035949707e-01
2.129903554916381836e+00,5.108471512794494629e-01,5.136162042617797852e-01,2.370938110351562500e+02,2.715993879451317206e-12,0.000000000000000000e+00,5.134062170982360840e-01
2.555875301361083984e+00,5.036779046058654785e-01,5.064410567283630371e-01,2.361452026367187500e+02,8.677726939798624528e-12,0.000000000000000000e+00,5.059230327606201172e-01
2.981842994689941406e+00,4.967075884342193604e-01,4.993509948253631592e-01,2.351984558105468750e+02,2.505606486180589343e-11,0.000000000000000000e+00,4.987702667713165283e-01
3.407806634902954102e+00,4.899229705333709717e-01,4.923591017723083496e-01,2.342553405761718750e+02,6.686448617010398721e-11,0.000000000000000000e+00,4.918610155582427979e-01
3.833765745162963867e+00,4.833170473575592041e-01,4.855186343193054199e-01,2.333233337402343750e+02,1.671020405380474472e-10,0.000000000000000000e+00,4.851672947406768799e-01
4.259720802307128906e+00,4.768959879875183105e-01,4.788717031478881836e-01,2.324086761474609375e+02,3.942024207059802166e-10,0.000000000000000000e+00,4.786775410175323486e-01
4.685671806335449219e+00,4.706803858280181885e-01,4.724414348602294922e-01,2.315151062011718750e+02,8.824777575355824411e-10,0.000000000000000000e+00,4.723934829235076904e-01
5.111619472503662109e+00,4.646771252155303955e-01,4.662397503852844238e-01,2.306450500488281250e+02,1.882329847546770907e-09,0.000000000000000000e+00,4.663162827491760254e-01
5.537562847137451172e+00,4.588999748229980469e-01,4.602706134319305420e-01,2.297997436523437500e+02,3.839005113803750646e-09,0.000000000000000000e+00,4.604483842849731445e-01
5.963503360748291016e+00,4.533582329750061035e-01,4.545345902442932129e-01,2.289800262451171875e+02,7.510610799954520189e-09,0.000000000000000000e+00,4.547910988330841064e-01
6.389441490173339844e+00,4.480536878108978271e-01,4.490308761596679688e-01,2.281865081787109375e+02,1.413776207215278191e-08,0.000000000000000000e+00,4.493483304977416992e-01
6.815377235412597656e+00,4.429912567138671875e-01,4.437600970268249512e-01,2.274200592041015625e+02,2.567842471989933983e-08,0.000000000000000000e+00,4.441201984882354736e-01
7.241311073303222656e+00,4.381569325923919678e-01,4.387240409851074219e-01,2.266816711425781250e+02,4.512182627536276414e-08,0.000000000000000000e+00,4.391076862812042236e-01
7.667243480682373047e+00,4.335400462150573730e-01,4.339244961738586426e-01,2.259723663330078125e+02,7.689442327318829484e-08,0.000000000000000000e+00,4.343102574348449707e-01
8.093175888061523438e+00,4.291211366653442383e-01,4.293600916862487793e-01,2.252925720214843750e+02,1.273771772503096145e-07,0.000000000000000000e+00,4.297267496585845947e-01
8.519189834594726562e+00,4.248753190040588379e-01,4.250237047672271729e-01,2.246419677734375000e+02,2.055242163123693899e-07,0.000000000000000000e+00,4.253492057323455811e-01
8.945203781127929688e+00,4.207848906517028809e-01,4.209021925926208496e-01,2.240193328857421875e+02,3.235949463942233706e-07,0.000000000000000000e+00,4.211657643318176270e-01
9.371217727661132812e+00,4.168478250503540039e-01,4.169745743274688721e-01,2.234219818115234375e+02,4.980406629329081625e-07,0.000000000000000000e+00,4.171601831912994385e-01
9.797231674194335938e+00,4.130536317825317383e-01,4.132146239280700684e-01,2.228466033935546875e+02,7.505051939915574621e-07,0.000000000000000000e+00,4.133160710334777832e-01
1.022324562072753906e+01,4.093972146511077881e-01,4.095960557460784912e-01,2.222895050048828125e+02,1.108972469410218764e-06,0.000000000000000000e+00,4.096188247203826904e-01
1.064925956726074219e+01,4.058685004711151123e-01,4.060962796211242676e-01,2.217477111816406250e+02,1.609068931429646909e-06,0.000000000000000000e+00,4.060531854629516602e-01
1.107527351379394531e+01,4.024583101272583008e-01,4.026992917060852051e-01,2.212190704345703125e+02,2.295533704455010593e-06,0.000000000000000000e+00,4.026057124137878418e-01
1.150128746032714844e+01,3.991551399230957031e-01,3.993943929672241211e-01,2.207022247314453125e+02,3.223851763323182240e-06,0.000000000000000000e+00,3.992686867713928223e-01
1.192730045318603516e+01,3.959478735923767090e-01,3.961755335330963135e-01,2.201966400146484375e+02,4.462075594346970320e-06,0.000000000000000000e+00,3.960339128971099854e-01
1.235331439971923828e+01,3.928291201591491699e-01,3.930383920669555664e-01,2.197019500732421875e+02,6.092818694014567882e-06,0.000000000000000000e+00,3.928952813148498535e-01
1.277932834625244141e+01,3.897924125194549561e-01,3.899811208248138428e-01,2.192183837890625000e+02,8.215392881538718939e-06,0.000000000000000000e+00,3.898485302925109863e-01
