x_mm,contour_wall,center,center_T
1.022324524819850922e+01,4.068211576307770305e-01,4.069822482859319357e-01,2.218829650878906250e+02
1.064925920218229294e+01,4.033050366620111737e-01,4.034923805971728505e-01,2.213390655517578125e+02
1.107527315616607666e+01,3.999139328868291932e-01,4.001059719929744296e-01,2.208081970214843750e+02
1.150128711014986038e+01,3.966429196821567582e-01,3.968143926168105629e-01,2.202889862060546875e+02
1.192730013281106949e+01,3.934680913534789326e-01,3.936161545623836355e-01,2.197815856933593750e+02
1.235331408679485321e+01,3.903757922274420089e-01,3.905111586359404363e-01,2.192861480712890625e+02
1.277932804077863693e+01,3.873592440642458223e-01,3.874965943478076991e-01,2.188024291992187500e+02
1.320534199476242065e+01,3.844194388014220420e-01,3.845646584560690751e-01,2.183293762207031250e+02
1.363135594874620438e+01,3.815526401409344848e-01,3.817048033583037014e-01,2.178654479980468750e+02
1.405736990272998810e+01,3.787616255078720129e-01,3.789092258125952295e-01,2.174095611572265625e+02
1.448338385671377182e+01,3.760366739144235804e-01,3.761748177480108146e-01,2.169613494873046875e+02
1.490939781069755554e+01,3.733709409916201039e-01,3.735017444874724757e-01,2.165208435058593750e+02
1.533541083335876465e+01,3.707598307622312350e-01,3.708907003872524144e-01,2.160884704589843750e+02
1.576142571866512299e+01,3.682030125804130472e-01,3.683390402805992725e-01,2.156638031005859375e+02
1.618743874132633209e+01,3.657003211232436324e-01,3.658405810902319311e-01,2.152458953857421875e+02
1.661345362663269043e+01,3.632482184801930081e-01,3.633895034492974352e-01,2.148339691162109375e+02
1.703946664929389954e+01,3.608487877200778904e-01,3.609819718660064458e-01,2.144274139404296875e+02
1.746547967195510864e+01,3.584963747989673433e-01,3.586179863403589074e-01,2.140263061523437500e+02
1.789149455726146698e+01,3.561852264791772749e-01,3.562991670369899944e-01,2.136310424804687500e+02
1.831750757992267609e+01,3.539128298522938865e-01,3.540263736350939827e-01,2.132418365478515625e+02
1.874352246522903442e+01,3.516788873370577106e-01,3.517979529054511834e-01,2.128585205078125000e+02
1.916953548789024353e+01,3.494825723188589861e-01,3.496097387104283305e-01,2.124803314208984375e+02
1.959555037319660187e+01,3.473254388331640241e-01,3.474569036207042494e-01,2.121066589355468750e+02
2.002156339585781097e+01,3.452063626841035959e-01,3.453362403715930506e-01,2.117369842529296875e+02
2.044757828116416931e+01,3.431251785487557382e-01,3.432466247672253390e-01,2.113710632324218750e+02
2.087359130382537842e+01,3.410803985208227251e-01,3.411890818097172984e-01,2.110092315673828125e+02
2.129960432648658752e+01,3.390665338792957506e-01,3.391652316637041031e-01,2.106518249511718750e+02
2.172561921179294586e+01,3.370803112303199511e-01,3.371761654604706338e-01,2.102990417480468750e+02
2.215163223445415497e+01,3.351212346051294921e-01,3.352213872312510556e-01,2.099508666992187500e+02
2.257764711976051331e+01,3.331892378745556216e-01,3.332985493905535890e-01,2.096069641113281250e+02
2.300366014242172241e+01,3.312860403969866141e-01,3.314039817695107470e-01,2.092667694091796875e+02
2.342967502772808075e+01,3.294117413661757365e-01,3.295341464575927137e-01,2.089296417236328125e+02
2.385568805038928986e+01,3.275671343321482909e-01,3.276871587734890845e-01,2.085952758789062500e+02
2.428170107305049896e+01,3.257505330011004063e-01,3.258629525880311628e-01,2.082637023925781250e+02
2.470771595835685730e+01,3.239625986647198252e-01,3.240626520970881774e-01,2.079351654052734375e+02
2.513372898101806641e+01,3.221994297020484010e-01,3.222877782715422579e-01,2.076100006103515625e+02
2.555974386632442474e+01,3.204570252983748313e-01,3.205392569197562103e-01,2.072884368896484375e+02
2.598575688898563385e+01,3.187340628703233536e-01,3.188174186875740723e-01,2.069705505371093750e+02
2.641177177429199219e+01,3.170309722574911060e-01,3.171213708312172197e-01,2.066561584472656250e+02
2.683778479695320129e+01,3.153484478161503457e-01,3.154491956047908996e-01,2.063450622558593750e+02
2.726379968225955963e+01,3.136880105171829802e-01,3.137974873561029110e-01,2.060366058349609375e+02
