x_mm,contour_wall,center,center_T,side_wall_mid
4.941651916503906250e+01,2.669740319252014160e-01,2.670232951641082764e-01,1.967747192382812500e+02,2.670154273509979248e-01
4.984253311157226562e+01,2.660899460315704346e-01,2.661371827125549316e-01,1.965884704589843750e+02,2.661308348178863525e-01
5.026854705810546875e+01,2.652137279510498047e-01,2.652580142021179199e-01,1.964032287597656250e+02,2.652535140514373779e-01
5.069455718994140625e+01,2.643452584743499756e-01,2.643862068653106689e-01,1.962190704345703125e+02,2.643831372261047363e-01
5.112057495117187500e+01,2.634837329387664795e-01,2.635218799114227295e-01,1.960360717773437500e+02,2.635194659233093262e-01
5.154658889770507812e+01,2.626289725303649902e-01,2.626651525497436523e-01,1.958542327880859375e+02,2.626625001430511475e-01
5.197260284423828125e+01,2.617814242839813232e-01,2.618166208267211914e-01,1.956737518310546875e+02,2.618124783039093018e-01
5.239861297607421875e+01,2.609400153160095215e-01,2.609752416610717773e-01,1.954944000244140625e+02,2.609697580337524414e-01
5.282463073730468750e+01,2.601057887077331543e-01,2.601409852504730225e-01,1.953161010742187500e+02,2.601342201232910156e-01
5.325064468383789062e+01,2.592788934707641602e-01,2.593143284320831299e-01,1.951390686035156250e+02,2.593060135841369629e-01
5.367665863037109375e+01,2.584587037563323975e-01,2.584947943687438965e-01,1.949631500244140625e+02,2.584850490093231201e-01
5.410266876220703125e+01,2.576445937156677246e-01,2.576817572116851807e-01,1.947882385253906250e+02,2.576710879802703857e-01
5.452868270874023438e+01,2.568376660346984863e-01,2.568756639957427979e-01,1.946144256591796875e+02,2.568639814853668213e-01
5.495470046997070312e+01,2.560374736785888672e-01,2.560765445232391357e-01,1.944416809082031250e+02,2.560635209083557129e-01
5.538071441650390625e+01,2.552429437637329102e-01,2.552838921546936035e-01,1.942699737548828125e+02,2.552696168422698975e-01
5.580672454833984375e+01,2.544552981853485107e-01,2.544977664947509766e-01,1.940992584228515625e+02,2.544820606708526611e-01
5.623273849487304688e+01,2.536738514900207520e-01,2.537176609039306641e-01,1.939295349121093750e+02,2.537007331848144531e-01
