x y z Ts
6.7759081721e-02 3.6422722042e-02 0.0000000000e+00 5.7102935791e+02
6.8039692938e-02 3.5536136478e-02 0.0000000000e+00 5.7334375000e+02
6.8320892751e-02 3.4644849598e-02 0.0000000000e+00 5.7738275146e+02
6.8603903055e-02 3.3745005727e-02 0.0000000000e+00 5.8259655762e+02
6.8889141083e-02 3.2835032791e-02 0.0000000000e+00 5.8820513916e+02
6.9175139070e-02 3.1919799745e-02 0.0000000000e+00 5.9358911133e+02
6.9459751248e-02 3.1006047502e-02 0.0000000000e+00 5.9826934814e+02
6.9742195308e-02 3.0096104369e-02 0.0000000000e+00 6.0202276611e+02
7.0022664964e-02 2.9189718887e-02 0.0000000000e+00 6.0477661133e+02
7.0300869644e-02 2.8287488967e-02 0.0000000000e+00 6.0639257812e+02
7.0576570928e-02 2.7390623465e-02 0.0000000000e+00 6.0689080811e+02
